ss1,ss2,ss3
5.5489493301877296e-5,8.071373798739704e-6,1.2663331371026073e-5
2.1924681684393726e-5,3.6153584428818204e-5,5.0342867648399735e-5
5.5835866358565e-6,9.73307820340822e-6,3.745681204025391e-5
2.4930676518468555e-5,1.5367413797311012e-5,6.071086265034351e-5
2.393625893458802e-5,2.337385770720141e-5,8.616289621682838e-6
9.906162282789301e-6,1.1777820593006158e-6,3.4891435583685395e-5
8.484676000557466e-6,3.5498170026021004e-5,5.57271510389979e-6
1.5752266733041627e-5,3.9249797974986676e-5,1.2160717873627047e-6
1.0425948822676214e-5,3.322842888123448e-5,2.226827100902111e-5
1.6176382754978332e-5,2.833314627788192e-6,2.118548646240115e-5
6.504831991153855e-5,4.371292251042995e-5,2.8503849802257766e-5
1.8642541724157224e-5,2.3748435189924167e-5,1.769417199890531e-5
2.077102131937477e-6,1.905718149736176e-5,2.7377053830201932e-5
1.0094812317030408e-5,1.232400847360652e-7,2.103814167668616e-5
3.5589674644356115e-5,6.096100220447316e-6,8.744983341518685e-6
2.0923142226895215e-5,7.161875901027943e-6,7.873633944633198e-6
2.1690118309468038e-7,6.553910811470727e-6,7.871261673402647e-6
9.101901565646621e-6,3.812034891157182e-5,2.36355374932952e-6
1.8469443520717544e-5,7.051384149612574e-6,1.0908668632467848e-5
1.1680755615465136e-6,5.215377510832949e-5,2.1843157947015825e-5
9.097380560841464e-7,1.783098240230633e-5,2.3942101096164276e-5
2.9132092455698687e-5,7.017565132817566e-6,1.4189493641632627e-5
8.206151957396798e-5,1.1500548248203163e-5,3.0426653253424542e-5
6.392365270930632e-6,4.7027722334457536e-5,6.37139855879029e-5
3.035003472742166e-5,1.094156890546052e-5,1.456140363569231e-5
5.348550058026924e-6,1.5560174791944197e-5,1.2263284369224731e-5
1.617134157355925e-7,5.7066789541785135e-6,3.2659154081178386e-5
5.603051175391019e-6,4.130926570071354e-6,6.078350171857346e-6
8.944151031237888e-6,1.5873841922869463e-5,2.3161074894665035e-5
0.00010299928023937493,2.5388353314375434e-6,6.984295825652797e-5
2.7572006456497426e-7,2.1094140892511205e-5,1.746914797601383e-5
2.0670103697447893e-5,1.2267667333378735e-5,8.966881508646978e-6
1.6106894374451528e-5,1.5747922365461996e-5,1.2449587293966906e-5
4.442707932679332e-7,7.498865935687626e-6,3.2014930523670184e-5
4.204366270623544e-6,2.065059610123059e-5,6.572329520062112e-6
7.424907781261311e-6,3.99385619872879e-5,1.9702550231336844e-5
7.477266447763872e-6,1.0138810501721034e-5,1.06057478609992e-5
2.496056778910472e-5,4.52803556601007e-6,1.3272394837940537e-5
3.095046135670144e-5,1.3980275690505232e-5,1.3155916335137073e-6
5.1106235253590434e-5,3.832363784005052e-6,2.1730378276012534e-5
1.9434360818219192e-5,4.292980105484842e-6,6.551148007043108e-5
2.38305667684448e-5,4.164436245898363e-7,3.310482539802531e-5
1.1852997066404254e-5,2.0741924238152032e-5,3.171299629433708e-5
4.111860369952185e-6,3.6927317168494146e-5,1.219519828798098e-5
2.534260566965887e-6,6.232394608833722e-6,1.1796423134945543e-5
1.1000573099672202e-5,1.4075095903171989e-5,2.795130629745856e-6
3.2281194505433276e-5,1.2958951480063089e-5,8.490950555226985e-6
5.493817193501967e-5,5.136952442141206e-6,3.745966434126429e-5
1.3032891350054306e-5,4.6246448457693605e-5,2.5454811184419024e-5
1.8584794180920595e-5,1.2309824278343288e-5,5.410313985853191e-6
